sku_id	image	additional_image_link	style_id	class_id	color	color_code	color_family	size	size_id	department_id	dissection-code	hazmat	redline	promoted	tax_code	vendor	list_price	sale_price	sale_price_effective_date	currency	shoprunner_eligible	title	link	prod_description	start_date	featured_color	featured_color_category	related_products	pre_order	handling_code	video	proportion	proportion_products	master_style	cannot_return	great_find	web_exclusive	ny_deals	promo_tagline	partially_promoted	product_category	sort_order	quantity_sold	average_rating
46361907	http://images.nyandcompany.com/is/image/NewYorkCompany/productdetaildefault/46-95-INDUSTRIAL-STRIPE-C_00588281_006.jpg	http://images.nyandcompany.com/is/image/NewYorkCompany/productdetaildefault/46-95-INDUSTRIAL-STRIPE-C_00588281_006_av2.jpg	00588281	0058	RINSE	006	GREYISH	LARGE	0008	046	99		true		531017	94865	46.94			USD		46.95 INDUSTRIAL STRIPE C	http://uat.nyandcompany.com/46-95-INDUSTRIAL-STRIPE-C/A-prod33861	Black & White Striped Flyaway Cardigan Crisp weather calls for chic layers: this open-front striped cardigan wraps up your look with relaxed and refined style. Features a flyaway design and ribbed trim at the sleeves.<br><br><h3>overview</h3><ol><li>Straight neckline.</li><li>Open front flyaway cardigan.</li><li>Striped front panels with solid back and sleeves.</li><li>Long fitted sleeve.</li><li>Ribbed trim on sleeve cuffs.</li></ol><br><h3>fit &amp; sizing</h3><ol><li>Hits at hip.</li></ol><br><h3>fabric &amp; care</h3><ol><li>53% Cotton, 40% Rayon, 7% Nylon.</li><li>Machine wash.</li><li>Imported.</li></ol> 		true	true,true,true,true,true,true,true			F2AFLR13											Apparel > Sweaters,New-Arrivals > Sweaters > All-Sweaters,Apparel > Tops > All-Tops,Apparel > Sweaters > Cardigans,Clearance > Redlines-Sweaters,Apparel > Sweaters > 2fer-Sweaters,Trends > Concrete-Jungle > Vibe-Sweaters	135,729,4168,2185,66,326,937	0	5.0
46361910	http://images.nyandcompany.com/is/image/NewYorkCompany/productdetaildefault/46-95-INDUSTRIAL-STRIPE-C_00588281_006.jpg	http://images.nyandcompany.com/is/image/NewYorkCompany/productdetaildefault/46-95-INDUSTRIAL-STRIPE-C_00588281_006_av2.jpg	00588281	0058	RINSE	006	GREYISH	XLARGE	0009	046	99		true		531017	94865	46.94			USD		46.95 INDUSTRIAL STRIPE C	http://uat.nyandcompany.com/46-95-INDUSTRIAL-STRIPE-C/A-prod33861	Black & White Striped Flyaway Cardigan Crisp weather calls for chic layers: this open-front striped cardigan wraps up your look with relaxed and refined style. Features a flyaway design and ribbed trim at the sleeves.<br><br><h3>overview</h3><ol><li>Straight neckline.</li><li>Open front flyaway cardigan.</li><li>Striped front panels with solid back and sleeves.</li><li>Long fitted sleeve.</li><li>Ribbed trim on sleeve cuffs.</li></ol><br><h3>fit &amp; sizing</h3><ol><li>Hits at hip.</li></ol><br><h3>fabric &amp; care</h3><ol><li>53% Cotton, 40% Rayon, 7% Nylon.</li><li>Machine wash.</li><li>Imported.</li></ol> 		true	true,true,true,true,true,true,true			F2AFLR13											Apparel > Sweaters,New-Arrivals > Sweaters > All-Sweaters,Apparel > Tops > All-Tops,Apparel > Sweaters > Cardigans,Clearance > Redlines-Sweaters,Apparel > Sweaters > 2fer-Sweaters,Trends > Concrete-Jungle > Vibe-Sweaters	135,729,4168,2185,66,326,937	0	5.0
41162774	http://images.nyandcompany.com/is/image/NewYorkCompany/productdetaildefault/69-95-JULIANA-JACKET_02213678_688.jpg	http://images.nyandcompany.com/is/image/NewYorkCompany/productdetaildefault/69-95-JULIANA-JACKET_02213678_688_av2.jpg	02213678	0221	WINE	688	Brown	0	0000	041	99		true		531018	27976	69.94			USD		69.95 JULIANA JACKET	http://uat.nyandcompany.com/69-95-JULIANA-JACKET/A-prod33863	7th Avenue Suiting Collection Jacket - Double Stretch - Brownstone Heather - Average Our most modern jacket silhouette looks crisp and polished with back seaming detail and front flap pockets; pairs perfectly with our suiting skirts and pants. <br><br><p>overview</p><ol><li>Notch collar.</li><Li>Two-button closure.</li><li>Darts on front.</li><li>Flap pockets on front and slant pocket.</li><li>Seaming detail on back.</li><li>Back vent.</li><li>Long fitted sleeve.</li><Li>Fully lined.</li><li>Available in Petite & Tall.</li></ol><br><p>fit &amp; sizing</p><ol><li>Hits at hip.</li></ol><br><p>fabric &amp; care</p><ol><li>Shell: 65% Polyester, 31% Rayon, 4% Spandex.</li><li>Lining: 100% Polyester.</li><li>Machine wash or Dry clean.</li><li>Imported.</li></ol> 		true	true,true,true,true			F2AFLR13		Average	06283703,06283704								New-Arrivals > Jackets,Apparel > Jackets > All-Jackets,Clearance > Redlines-Jackets,New-Arrivals > Suiting	267,23,202,68	5	2.0
41162787	http://images.nyandcompany.com/is/image/NewYorkCompany/productdetaildefault/69-95-JULIANA-JACKET_02213678_688.jpg	http://images.nyandcompany.com/is/image/NewYorkCompany/productdetaildefault/69-95-JULIANA-JACKET_02213678_688_av2.jpg	02213678	0221	WINE	688	Brown	2	0020	041	99		true		531018	27976	69.94			USD		69.95 JULIANA JACKET	http://uat.nyandcompany.com/69-95-JULIANA-JACKET/A-prod33863	7th Avenue Suiting Collection Jacket - Double Stretch - Brownstone Heather - Average Our most modern jacket silhouette looks crisp and polished with back seaming detail and front flap pockets; pairs perfectly with our suiting skirts and pants. <br><br><p>overview</p><ol><li>Notch collar.</li><Li>Two-button closure.</li><li>Darts on front.</li><li>Flap pockets on front and slant pocket.</li><li>Seaming detail on back.</li><li>Back vent.</li><li>Long fitted sleeve.</li><Li>Fully lined.</li><li>Available in Petite & Tall.</li></ol><br><p>fit &amp; sizing</p><ol><li>Hits at hip.</li></ol><br><p>fabric &amp; care</p><ol><li>Shell: 65% Polyester, 31% Rayon, 4% Spandex.</li><li>Lining: 100% Polyester.</li><li>Machine wash or Dry clean.</li><li>Imported.</li></ol> 		true	true,true,true,true			F2AFLR13		Average	06283703,06283704								New-Arrivals > Jackets,Apparel > Jackets > All-Jackets,Clearance > Redlines-Jackets,New-Arrivals > Suiting	267,23,202,68	5	2.0
41162790	http://images.nyandcompany.com/is/image/NewYorkCompany/productdetaildefault/69-95-JULIANA-JACKET_02213678_688.jpg	http://images.nyandcompany.com/is/image/NewYorkCompany/productdetaildefault/69-95-JULIANA-JACKET_02213678_688_av2.jpg	02213678	0221	WINE	688	Brown	4	0040	041	99		true		531018	27976	69.94			USD		69.95 JULIANA JACKET	http://uat.nyandcompany.com/69-95-JULIANA-JACKET/A-prod33863	7th Avenue Suiting Collection Jacket - Double Stretch - Brownstone Heather - Average Our most modern jacket silhouette looks crisp and polished with back seaming detail and front flap pockets; pairs perfectly with our suiting skirts and pants. <br><br><p>overview</p><ol><li>Notch collar.</li><Li>Two-button closure.</li><li>Darts on front.</li><li>Flap pockets on front and slant pocket.</li><li>Seaming detail on back.</li><li>Back vent.</li><li>Long fitted sleeve.</li><Li>Fully lined.</li><li>Available in Petite & Tall.</li></ol><br><p>fit &amp; sizing</p><ol><li>Hits at hip.</li></ol><br><p>fabric &amp; care</p><ol><li>Shell: 65% Polyester, 31% Rayon, 4% Spandex.</li><li>Lining: 100% Polyester.</li><li>Machine wash or Dry clean.</li><li>Imported.</li></ol> 		true	true,true,true,true			F2AFLR13		Average	06283703,06283704								New-Arrivals > Jackets,Apparel > Jackets > All-Jackets,Clearance > Redlines-Jackets,New-Arrivals > Suiting	267,23,202,68	5	2.0
41162800	http://images.nyandcompany.com/is/image/NewYorkCompany/productdetaildefault/69-95-JULIANA-JACKET_02213678_688.jpg	http://images.nyandcompany.com/is/image/NewYorkCompany/productdetaildefault/69-95-JULIANA-JACKET_02213678_688_av2.jpg	02213678	0221	WINE	688	Brown	6	0060	041	99		true		531018	27976	69.94			USD		69.95 JULIANA JACKET	http://uat.nyandcompany.com/69-95-JULIANA-JACKET/A-prod33863	7th Avenue Suiting Collection Jacket - Double Stretch - Brownstone Heather - Average Our most modern jacket silhouette looks crisp and polished with back seaming detail and front flap pockets; pairs perfectly with our suiting skirts and pants. <br><br><p>overview</p><ol><li>Notch collar.</li><Li>Two-button closure.</li><li>Darts on front.</li><li>Flap pockets on front and slant pocket.</li><li>Seaming detail on back.</li><li>Back vent.</li><li>Long fitted sleeve.</li><Li>Fully lined.</li><li>Available in Petite & Tall.</li></ol><br><p>fit &amp; sizing</p><ol><li>Hits at hip.</li></ol><br><p>fabric &amp; care</p><ol><li>Shell: 65% Polyester, 31% Rayon, 4% Spandex.</li><li>Lining: 100% Polyester.</li><li>Machine wash or Dry clean.</li><li>Imported.</li></ol> 		true	true,true,true,true			F2AFLR13		Average	06283703,06283704								New-Arrivals > Jackets,Apparel > Jackets > All-Jackets,Clearance > Redlines-Jackets,New-Arrivals > Suiting	267,23,202,68	5	2.0
41162813	http://images.nyandcompany.com/is/image/NewYorkCompany/productdetaildefault/69-95-JULIANA-JACKET_02213678_688.jpg	http://images.nyandcompany.com/is/image/NewYorkCompany/productdetaildefault/69-95-JULIANA-JACKET_02213678_688_av2.jpg	02213678	0221	WINE	688	Brown	8	0080	041	99		true		531018	27976	69.94			USD		69.95 JULIANA JACKET	http://uat.nyandcompany.com/69-95-JULIANA-JACKET/A-prod33863	7th Avenue Suiting Collection Jacket - Double Stretch - Brownstone Heather - Average Our most modern jacket silhouette looks crisp and polished with back seaming detail and front flap pockets; pairs perfectly with our suiting skirts and pants. <br><br><p>overview</p><ol><li>Notch collar.</li><Li>Two-button closure.</li><li>Darts on front.</li><li>Flap pockets on front and slant pocket.</li><li>Seaming detail on back.</li><li>Back vent.</li><li>Long fitted sleeve.</li><Li>Fully lined.</li><li>Available in Petite & Tall.</li></ol><br><p>fit &amp; sizing</p><ol><li>Hits at hip.</li></ol><br><p>fabric &amp; care</p><ol><li>Shell: 65% Polyester, 31% Rayon, 4% Spandex.</li><li>Lining: 100% Polyester.</li><li>Machine wash or Dry clean.</li><li>Imported.</li></ol> 		true	true,true,true,true			F2AFLR13		Average	06283703,06283704								New-Arrivals > Jackets,Apparel > Jackets > All-Jackets,Clearance > Redlines-Jackets,New-Arrivals > Suiting	267,23,202,68	5	2.0
41162826	http://images.nyandcompany.com/is/image/NewYorkCompany/productdetaildefault/69-95-JULIANA-JACKET_02213678_688.jpg	http://images.nyandcompany.com/is/image/NewYorkCompany/productdetaildefault/69-95-JULIANA-JACKET_02213678_688_av2.jpg	02213678	0221	WINE	688	Brown	10	0100	041	99		true		531018	27976	69.94			USD		69.95 JULIANA JACKET	http://uat.nyandcompany.com/69-95-JULIANA-JACKET/A-prod33863	7th Avenue Suiting Collection Jacket - Double Stretch - Brownstone Heather - Average Our most modern jacket silhouette looks crisp and polished with back seaming detail and front flap pockets; pairs perfectly with our suiting skirts and pants. <br><br><p>overview</p><ol><li>Notch collar.</li><Li>Two-button closure.</li><li>Darts on front.</li><li>Flap pockets on front and slant pocket.</li><li>Seaming detail on back.</li><li>Back vent.</li><li>Long fitted sleeve.</li><Li>Fully lined.</li><li>Available in Petite & Tall.</li></ol><br><p>fit &amp; sizing</p><ol><li>Hits at hip.</li></ol><br><p>fabric &amp; care</p><ol><li>Shell: 65% Polyester, 31% Rayon, 4% Spandex.</li><li>Lining: 100% Polyester.</li><li>Machine wash or Dry clean.</li><li>Imported.</li></ol> 		true	true,true,true,true			F2AFLR13		Average	06283703,06283704								New-Arrivals > Jackets,Apparel > Jackets > All-Jackets,Clearance > Redlines-Jackets,New-Arrivals > Suiting	267,23,202,68	5	2.0
41162839	http://images.nyandcompany.com/is/image/NewYorkCompany/productdetaildefault/69-95-JULIANA-JACKET_02213678_688.jpg	http://images.nyandcompany.com/is/image/NewYorkCompany/productdetaildefault/69-95-JULIANA-JACKET_02213678_688_av2.jpg	02213678	0221	WINE	688	Brown	12	0120	041	99		true		531018	27976	69.94			USD		69.95 JULIANA JACKET	http://uat.nyandcompany.com/69-95-JULIANA-JACKET/A-prod33863	7th Avenue Suiting Collection Jacket - Double Stretch - Brownstone Heather - Average Our most modern jacket silhouette looks crisp and polished with back seaming detail and front flap pockets; pairs perfectly with our suiting skirts and pants. <br><br><p>overview</p><ol><li>Notch collar.</li><Li>Two-button closure.</li><li>Darts on front.</li><li>Flap pockets on front and slant pocket.</li><li>Seaming detail on back.</li><li>Back vent.</li><li>Long fitted sleeve.</li><Li>Fully lined.</li><li>Available in Petite & Tall.</li></ol><br><p>fit &amp; sizing</p><ol><li>Hits at hip.</li></ol><br><p>fabric &amp; care</p><ol><li>Shell: 65% Polyester, 31% Rayon, 4% Spandex.</li><li>Lining: 100% Polyester.</li><li>Machine wash or Dry clean.</li><li>Imported.</li></ol> 		true	true,true,true,true			F2AFLR13		Average	06283703,06283704								New-Arrivals > Jackets,Apparel > Jackets > All-Jackets,Clearance > Redlines-Jackets,New-Arrivals > Suiting	267,23,202,68	5	2.0
41162842	http://images.nyandcompany.com/is/image/NewYorkCompany/productdetaildefault/69-95-JULIANA-JACKET_02213678_688.jpg	http://images.nyandcompany.com/is/image/NewYorkCompany/productdetaildefault/69-95-JULIANA-JACKET_02213678_688_av2.jpg	02213678	0221	WINE	688	Brown	14	0140	041	99		true		531018	27976	69.94			USD		69.95 JULIANA JACKET	http://uat.nyandcompany.com/69-95-JULIANA-JACKET/A-prod33863	7th Avenue Suiting Collection Jacket - Double Stretch - Brownstone Heather - Average Our most modern jacket silhouette looks crisp and polished with back seaming detail and front flap pockets; pairs perfectly with our suiting skirts and pants. <br><br><p>overview</p><ol><li>Notch collar.</li><Li>Two-button closure.</li><li>Darts on front.</li><li>Flap pockets on front and slant pocket.</li><li>Seaming detail on back.</li><li>Back vent.</li><li>Long fitted sleeve.</li><Li>Fully lined.</li><li>Available in Petite & Tall.</li></ol><br><p>fit &amp; sizing</p><ol><li>Hits at hip.</li></ol><br><p>fabric &amp; care</p><ol><li>Shell: 65% Polyester, 31% Rayon, 4% Spandex.</li><li>Lining: 100% Polyester.</li><li>Machine wash or Dry clean.</li><li>Imported.</li></ol> 		true	true,true,true,true			F2AFLR13		Average	06283703,06283704								New-Arrivals > Jackets,Apparel > Jackets > All-Jackets,Clearance > Redlines-Jackets,New-Arrivals > Suiting	267,23,202,68	5	2.0
